-- Logs begin at Tue 2014-11-18 04:29:31 UTC, end at Tue 2014-11-18 05:28:31 UTC. --
Nov 18 04:59:52 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 04:59:57 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:00:02 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:00:07 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:00:12 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:00:17 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:00:22 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:00:27 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:00:32 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:00:37 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:00:42 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:00:47 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:00:52 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:00:57 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:01:02 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:01:07 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:01:12 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:01:17 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:01:22 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:01:27 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:01:32 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:01:37 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:01:42 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:01:47 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:01:52 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:01:57 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:02:02 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:02:07 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:02:12 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:02:17 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:02:22 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:02:27 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:02:32 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:02:37 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:02:42 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:02:47 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:02:52 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:02:57 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
Nov 18 05:03:02 deis-2 sh[1988]: store-metadata: waiting for another metadata to complete setup...
